S No,Name,Maths,Science,English,Social Science,Language Subject,Language Subject Marks,Optional Subject,Optional Subject Marks,Year,Board
53,Arnav Singh,65,68,70,72,Bengali,70,Dance,68,2024,West Bengal Board
54,Aaradhya Gupta,62,65,68,70,Punjabi,68,Physical Education,65,2024,Punjab Board
55,Avni Reddy,60,62,65,68,Telugu,65,Psychology,62,2024,Telangana Board
56,Krish Patel,55,60,62,65,Hindi,62,Arts,60,2024,CBSE
57,Riya Singh,50,55,60,62,Tamil,60,Music,55,2024,Tamil Nadu Board
58,Shaurya Kumar,45,50,55,60,Kannada,55,Dance,50,2024,Karnataka Board
59,Sara Reddy,40,45,50,55,Odia,50,Arts,45,2024,Odisha Board
60,Aditi Sharma,35,40,45,50,Malayalam,45,Sociology,40,2024,Kerala Board
61,Armaan Singh,30,35,40,45,Hindi,40,Psychology,35,2024,CBSE
62,Ananya Reddy,25,30,35,40,Telugu,35,Arts,30,2024,Telangana Board
63,Rohan Patel,20,25,30,35,Punjabi,30,Dance,25,2024,Punjab Board
64,Anushka Singh,15,20,25,30,Gujarati,25,Arts,20,2024,Gujarat Board
65,Aditya Reddy,10,15,20,25,Marathi,20,Music,15,2024,Maharashtra Board
66,Arnav Sharma,5,10,15,20,Bengali,15,Dance,10,2024,West Bengal Board
67,Aaradhya Gupta,3,5,10,15,Telugu,10,Psychology,5,2024,Telangana Board
68,Avni Singh,2,3,5,10,Kannada,5,Arts,3,2024,Karnataka Board
69,Krish Patel,1,2,3,5,Tamil,3,Music,2,2024,Tamil Nadu Board
70,Riya Reddy,0,1,2,3,Odia,2,Sociology,1,2024,Odisha Board
71,Shaurya Sharma,0,0,1,2,Malayalam,1,Psychology,0,2024,Kerala Board
72,Sara Singh,0,0,0,1,Hindi,0,Arts,0,2024,CBSE
73,Aditi Reddy,0,0,0,0,Telugu,0,Dance,0,2024,Telangana Board
74,Armaan Patel,0,0,0,0,Punjabi,0,Arts,0,2024,Punjab Board
75,Ananya Sharma,0,0,0,0,Gujarati,0,Music,0,2024,Gujarat Board
76,Aditya Singh,0,0,0,0,Marathi,0,Sociology,0,2024,Maharashtra Board
77,Arnav Reddy,0,0,0,0,Bengali,0,Psychology,0,2024,West Bengal Board
78,Aaradhya Kumar,0,0,0,0,Tamil,0,Arts,0,2024,Tamil Nadu Board
79,Avni Patel,0,0,0,0,Kannada,0,Dance,0,2024,Karnataka Board
101,Aditya Kumar,75,78,80,82,Marathi,78,Psychology,80,2024,Maharashtra Board
102,Anika Gupta,78,80,82,75,Gujarati,80,Arts,82,2024,Gujarat Board
103,Arjun Reddy,80,82,75,78,Bengali,82,Music,75,2024,West Bengal Board
104,Ayush Patel,82,75,78,80,Punjabi,75,Dance,78,2024,Punjab Board
105,Bhavya Singh,75,78,80,82,Telugu,78,Physical Education,80,2024,Telangana Board
106,Chaitanya Sharma,78,80,82,75,Hindi,80,Arts,82,2024,CBSE
107,Dhruv Verma,80,82,75,78,Tamil,82,Sociology,75,2024,Tamil Nadu Board
108,Ekta Kumar,82,75,78,80,Kannada,75,Music,78,2024,Karnataka Board
109,Farhan Patel,75,78,80,82,Odia,78,Dance,80,2024,Odisha Board
110,Gauri Reddy,78,80,82,75,Malayalam,80,Psychology,82,2024,Kerala Board
111,Hemant Singh,80,82,75,78,Hindi,82,Arts,75,2024,CBSE
112,Inaya Singh,82,75,78,80,Telugu,75,Music,78,2024,Telangana Board
113,Jay Patel,75,78,80,82,Punjabi,78,Dance,80,2024,Punjab Board
114,Krishna Reddy,78,80,82,75,Gujarati,80,Physical Education,82,2024,Gujarat Board
115,Leena Sharma,80,82,75,78,Marathi,82,Psychology,75,2024,Maharashtra Board
116,Mohit Singh,82,75,78,80,Bengali,75,Arts,78,2024,West Bengal Board
117,Neha Verma,75,78,80,82,Tamil,78,Music,80,2024,Tamil Nadu Board
118,Ojasvi Kumar,78,80,82,75,Kannada,80,Dance,82,2024,Karnataka Board
119,Pranav Patel,80,82,75,78,Odia,82,Psychology,75,2024,Odisha Board
120,Queenie Reddy,82,75,78,80,Malayalam,75,Arts,78,2024,Kerala Board
121,Rahul Singh,75,78,80,82,Hindi,78,Music,80,2024,CBSE
122,Sneha Reddy,78,80,82,75,Telugu,80,Sociology,82,2024,Telangana Board
123,Tanishka Patel,80,82,75,78,Punjabi,82,Dance,75,2024,Punjab Board
124,Uday Sharma,82,75,78,80,Gujarati,75,Arts,78,2024,Gujarat Board
125,Vikram Singh,75,78,80,82,Marathi,78,Physical Education,80,2024,Maharashtra Board
126,Yash Verma,78,80,82,75,Bengali,80,Psychology,82,2024,West Bengal Board
127,Zara Patel,80,82,75,78,Tamil,82,Arts,75,2024,Tamil Nadu Board
128,Aryan Kumar,82,75,78,80,Kannada,75,Music,78,2024,Karnataka Board
129,Akshay Patel,75,78,80,82,Odia,78,Dance,80,2024,Odisha Board
130,Ananya Reddy,78,80,82,75,Malayalam,80,Psychology,82,2024,Kerala Board
131,Arnav Singh,80,82,75,78,Hindi,82,Arts,75,2024,CBSE
132,Ayush Reddy,82,75,78,80,Telugu,75,Music,78,2024,Telangana Board
133,Bhavna Patel,75,78,80,82,Punjabi,78,Dance,80,2024,Punjab Board
134,Chetan Sharma,78,80,82,75,Gujarati,80,Physical Education,82,2024,Gujarat Board
135,Deepika Singh,80,82,75,78,Marathi,82,Psychology,75,2024,Maharashtra Board
136,Ekta Reddy,82,75,78,80,Bengali,75,Arts,78,2024,West Bengal Board
137,Farhan Kumar,75,78,80,82,Tamil,78,Music,80,2024,Tamil Nadu Board
138,Gaurav Patel,78,80,82,75,Kannada,80,Dance,82,2024,Karnataka Board
139,Himanshu Reddy,80,82,75,78,Odia,82,Psychology,75,2024,Odisha Board
140,Ishita Sharma,82,75,78,80,Malayalam,75,Arts,78,2024,Kerala Board
141,Jatin Singh,75,78,80,82,Hindi,78,Music,80,2024,CBSE
142,Kritika Patel,78,80,82,75,Telugu,80,Sociology,82,2024,Telangana Board
143,Lakshay Singh,80,82,75,78,Punjabi,82,Dance,75,2024,Punjab Board
144,Mohini Sharma,82,75,78,80,Gujarati,75,Arts,78,2024,Gujarat Board
145,Nikhil Kumar,75,78,80,82,Marathi,78,Physical Education,80,2024,Maharashtra Board
146,Priya Verma,78,80,82,75,Bengali,80,Psychology,82,2024,West Bengal Board
147,Rahul Reddy,80,82,75,78,Tamil,82,Arts,75,2024,Tamil Nadu Board
148,Sakshi Patel,82,75,78,80,Kannada,75,Music,78,2024,Karnataka Board
149,Saurabh Reddy,75,78,80,82,Odia,78,Dance,80,2024,Odisha Board
150,Tanya Sharma,78,80,82,75,Malayalam,80,Psychology,82,2024,Kerala Board
151,Varun Singh,80,82,75,78,Hindi,82,Arts,75,2024,CBSE
152,Yashvi Patel,82,75,78,80,Telugu,75,Music,78,2024,Telangana Board
153,Zoya Reddy,75,78,80,82,Punjabi,78,Sociology,80,2024,Punjab Board
154,Anand Sharma,78,80,82,75,Gujarati,80,Physical Education,82,2024,Gujarat Board
155,Dhruv Reddy,80,82,75,78,Marathi,82,Psychology,75,2024,Maharashtra Board
156,Ekta Singh,82,75,78,80,Bengali,75,Arts,78,2024,West Bengal Board
157,Farhan Sharma,75,78,80,82,Tamil,78,Music,80,2024,Tamil Nadu Board
158,Gaurav Reddy,78,80,82,75,Kannada,80,Dance,82,2024,Karnataka Board
159,Himanshu Patel,80,82,75,78,Odia,82,Psychology,75,2024,Odisha Board
160,Ishita Reddy,82,75,78,80,Malayalam,75,Arts,78,2024,Kerala Board
161,Jatin Kumar,75,78,80,82,Hindi,78,Music,80,2024,CBSE
162,Kritika Reddy,78,80,82,75,Telugu,80,Sociology,82,2024,Telangana Board
163,Lakshay Patel,80,82,75,78,Punjabi,82,Dance,75,2024,Punjab Board
164,Mohini Reddy,82,75,78,80,Gujarati,75,Arts,78,2024,Gujarat Board
165,Nikhil Sharma,75,78,80,82,Marathi,78,Physical Education,80,2024,Maharashtra Board
166,Priya Singh,78,80,82,75,Bengali,80,Psychology,82,2024,West Bengal Board
167,Rahul Sharma,80,82,75,78,Tamil,82,Arts,75,2024,Tamil Nadu Board
168,Sakshi Reddy,82,75,78,80,Kannada,75,Music,78,2024,Karnataka Board
169,Saurabh Patel,75,78,80,82,Odia,78,Dance,80,2024,Odisha Board
170,Tanya Reddy,78,80,82,75,Malayalam,80,Psychology,82,2024,Kerala Board
171,Varun Sharma,80,82,75,78,Hindi,82,Arts,75,2024,CBSE
172,Yashvi Reddy,82,75,78,80,Telugu,75,Music,78,2024,Telangana Board
173,Zoya Patel,75,78,80,82,Punjabi,78,Sociology,80,2024,Punjab Board
174,Anand Reddy,78,80,82,75,Gujarati,80,Physical Education,82,2024,Gujarat Board
175,Dhruv Sharma,80,82,75,78,Marathi,82,Psychology,75,2024,Maharashtra Board
176,Ekta Reddy,82,75,78,80,Bengali,75,Arts,78,2024,West Bengal Board
177,Farhan Singh,75,78,80,82,Tamil,78,Music,80,2024,Tamil Nadu Board
178,Gaurav Sharma,78,80,82,75,Kannada,80,Dance,82,2024,Karnataka Board
179,Himanshu Reddy,80,82,75,78,Odia,82,Psychology,75,2024,Odisha Board
180,Ishita Patel,82,75,78,80,Malayalam,75,Arts,78,2024,Kerala Board
181,Aryan Gupta,98,97,99,96,Marathi,96,Music,97,2024,Maharashtra Board
182,Ananya Singh,97,98,96,99,Gujarati,99,Dance,98,2024,Gujarat Board
183,Arjun Sharma,96,99,97,98,Bengali,98,Physical Education,96,2024,West Bengal Board
184,Aarav Patel,99,96,98,97,Punjabi,97,Arts,98,2024,Punjab Board
185,Avani Reddy,98,97,99,96,Telugu,96,Psychology,97,2024,Telangana Board
186,Shreya Kumar,97,98,96,99,Hindi,99,Sociology,98,2024,CBSE
187,Vivek Verma,96,99,97,98,Tamil,98,Music,96,2024,Tamil Nadu Board
188,Aishwarya Gupta,99,96,98,97,Kannada,97,Dance,98,2024,Karnataka Board
189,Rahul Reddy,98,97,99,96,Odia,96,Arts,97,2024,Odisha Board
190,Sneha Sharma,97,98,96,99,Malayalam,99,Psychology,98,2024,Kerala Board
191,Yash Singh,96,99,97,98,Hindi,98,Arts,96,2024,CBSE
192,Ishika Patel,99,96,98,97,Telugu,97,Music,98,2024,Telangana Board
193,Kabir Kumar,98,97,99,96,Punjabi,96,Dance,97,2024,Punjab Board
194,Aditi Reddy,97,98,96,99,Gujarati,99,Physical Education,98,2024,Gujarat Board
195,Krishna Sharma,96,99,97,98,Marathi,98,Psychology,96,2024,Maharashtra Board
196,Anushka Singh,99,96,98,97,Bengali,97,Arts,98,2024,West Bengal Board
197,Raj Patel,98,97,99,96,Tamil,96,Music,97,2024,Tamil Nadu Board
198,Samaira Reddy,97,98,96,99,Kannada,99,Dance,98,2024,Karnataka Board
199,Vishal Gupta,96,99,97,98,Odia,98,Psychology,96,2024,Odisha Board
200,Kavya Sharma,99,96,98,97,Malayalam,96,Arts,97,2024,Kerala Board
201,Anshul Singh,98,97,99,96,Hindi,96,Music,97,2024,CBSE
202,Arpita Patel,97,98,96,99,Telugu,99,Sociology,98,2024,Telangana Board
203,Karan Kumar,96,99,97,98,Punjabi,98,Dance,96,2024,Punjab Board
204,Rahul Sharma,99,96,98,97,Gujarati,97,Physical Education,98,2024,Gujarat Board
205,Alisha Gupta,98,97,99,96,Marathi,96,Psychology,97,2024,Maharashtra Board
206,Vedant Singh,97,98,96,99,Bengali,99,Arts,98,2024,West Bengal Board
207,Anushka Verma,96,99,97,98,Tamil,98,Music,96,2024,Tamil Nadu Board
208,Rohit Reddy,99,96,98,97,Kannada,97,Dance,98,2024,Karnataka Board
209,Aarav Gupta,98,97,99,96,Odia,96,Psychology,97,2024,Odisha Board
210,Ananya Sharma,97,98,96,99,Malayalam,99,Arts,98,2024,Kerala Board
211,Arjun Singh,96,99,97,98,Hindi,98,Music,96,2024,CBSE
212,Ayush Patel,99,96,98,97,Telugu,97,Sociology,98,2024,Telangana Board
213,Bhavya Kumar,98,97,99,96,Punjabi,96,Physical Education,97,2024,Punjab Board
214,Chahat Sharma,97,98,96,99,Gujarati,99,Arts,98,2024,Gujarat Board
215,Daksh Gupta,96,99,97,98,Marathi,98,Dance,96,2024,Maharashtra Board
216,Eshaan Singh,99,96,98,97,Bengali,97,Psychology,98,2024,West Bengal Board
217,Farhan Verma,98,97,99,96,Tamil,96,Music,97,2024,Tamil Nadu Board
218,Garima Reddy,97,98,96,99,Kannada,99,Sociology,98,2024,Karnataka Board
219,Harsh Patel,96,99,97,98,Odia,98,Dance,96,2024,Odisha Board
220,Ishita Reddy,99,96,98,97,Malayalam,97,Psychology,98,2024,Kerala Board
221,Jay Patel,98,97,99,96,Hindi,96,Arts,97,2024,CBSE
222,Karina Singh,97,98,96,99,Telugu,99,Music,98,2024,Telangana Board
223,Lakshya Reddy,96,99,97,98,Punjabi,98,Dance,96,2024,Punjab Board
224,Mohit Sharma,99,96,98,97,Gujarati,97,Physical Education,98,2024,Gujarat Board
225,Neha Gupta,98,97,99,96,Marathi,96,Psychology,97,2024,Maharashtra Board
226,Arnav Reddy,90,85,88,84,Hindi,85,Music,88,2024,ICSE
227,Anika Gupta,78,80,82,75,Hindi,80,Music,82,2024,CISCE
228,Aryan Patel,92,94,90,88,Hindi,94,Physical Education,90,2024,IB
229,Aditi Sharma,82,75,78,80,Hindi,75,Dance,78,2024,ICSE
230,Bhavya Singh,75,78,80,82,Hindi,78,Dance,80,2024,CISCE
231,Karan Reddy,94,92,88,90,Hindi,92,Psychology,88,2024,IB
232,Ishaan Gupta,85,90,88,82,Hindi,90,Psychology,88,2024,ICSE
233,Ananya Patel,80,82,75,78,Hindi,82,Sociology,75,2024,CISCE
234,Vikram Reddy,96,95,92,94,Hindi,95,Arts,92,2024,IB
235,Aditya Kumar,75,80,82,78,Hindi,80,Arts,82,2024,ICSE
236,Anushka Sharma,98,96,95,97,Hindi,96,Music,95,2024,CISCE
237,Arnav Singh,90,88,85,92,Hindi,88,Music,85,2024,IB
238,Ayush Patel,82,78,75,80,Hindi,78,Dance,75,2024,ICSE
239,Ananya Gupta,94,90,92,88,Hindi,90,Psychology,92,2024,CISCE
240,Aarav Reddy,88,85,90,84,Hindi,85,Sociology,90,2024,IB
241,Aditi Reddy,75,82,78,80,Hindi,82,Arts,78,2024,ICSE
242,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2024,CISCE
243,Krishna Patel,95,92,96,94,Hindi,92,Physical Education,96,2024,IB
244,Aishwarya Reddy,85,88,84,90,Hindi,88,Psychology,84,2024,ICSE
245,Anshul Gupta,96,95,97,92,Hindi,95,Dance,97,2024,CISCE
246,Arjun Sharma,92,94,90,88,Hindi,94,Music,90,2024,IB
247,Aditi Sharma,78,80,82,75,Hindi,80,Psychology,82,2024,ICSE
248,Anika Reddy,90,85,88,84,Hindi,85,Sociology,88,2024,CISCE
249,Aryan Patel,92,94,90,88,Hindi,94,Arts,90,2024,IB
250,Aditya Kumar,75,80,82,78,Hindi,80,Physical Education,82,2024,ICSE
251,Anushka Sharma,98,96,95,97,Hindi,96,Psychology,95,2024,CISCE
252,Arnav Singh,90,88,85,92,Hindi,88,Arts,85,2024,IB
253,Ayush Patel,82,78,75,80,Hindi,78,Music,75,2024,ICSE
254,Ananya Gupta,94,90,92,88,Hindi,90,Dance,92,2024,CISCE
255,Aarav Reddy,88,85,90,84,Hindi,85,Psychology,90,2024,IB
256,Aditi Reddy,75,82,78,80,Hindi,82,Sociology,78,2024,ICSE
257,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2024,CISCE
258,Krishna Patel,95,92,96,94,Hindi,92,Music,96,2024,IB
259,Aishwarya Reddy,85,88,84,90,Hindi,88,Physical Education,84,2024,ICSE
260,Anshul Gupta,96,95,97,92,Hindi,95,Psychology,97,2024,CISCE
261,Arjun Sharma,92,94,90,88,Hindi,94,Dance,90,2024,IB
262,Aditi Sharma,78,80,82,75,Hindi,80,Arts,82,2024,ICSE
263,Anika Reddy,90,85,88,84,Hindi,85,Music,88,2024,CISCE
264,Aryan Patel,92,94,90,88,Hindi,94,Psychology,90,2024,IB
265,Aditya Kumar,75,80,82,78,Hindi,80,Sociology,82,2024,ICSE
266,Anushka Sharma,98,96,95,97,Hindi,96,Arts,95,2024,CISCE
267,Arnav Singh,90,88,85,92,Hindi,88,Physical Education,85,2024,IB
268,Ayush Patel,82,78,75,80,Hindi,78,Psychology,75,2024,ICSE
269,Ananya Gupta,94,90,92,88,Hindi,90,Sociology,92,2024,CISCE
270,Aarav Reddy,88,85,90,84,Hindi,85,Music,90,2024,IB
271,Aditi Reddy,75,82,78,80,Hindi,82,Psychology,78,2024,ICSE
272,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2024,CISCE
273,Krishna Patel,95,92,96,94,Hindi,92,Physical Education,96,2024,IB
274,Aishwarya Reddy,85,88,84,90,Hindi,88,Psychology,84,2024,ICSE
275,Anshul Gupta,96,95,97,92,Hindi,95,Dance,97,2024,CISCE
1,Aditya Kumar,75,78,80,82,Hindi,78,Music,80,2022,ICSE
2,Anika Gupta,78,80,82,75,Hindi,80,Music,82,2022,CISCE
3,Aryan Patel,92,94,90,88,Hindi,94,Physical Education,90,2022,IB
4,Aditi Sharma,82,75,78,80,Hindi,75,Dance,78,2022,CBSE
5,Bhavya Singh,75,78,80,82,Hindi,78,Dance,80,2022,Gujarat Board
6,Karan Reddy,94,92,88,90,Hindi,92,Psychology,88,2022,Tamil Nadu Board
7,Ishaan Gupta,85,90,88,82,Hindi,90,Psychology,88,2022,West Bengal Board
8,Ananya Patel,80,82,75,78,Hindi,82,Sociology,75,2022,Karnataka Board
9,Vikram Reddy,96,95,92,94,Hindi,95,Arts,92,2022,Maharashtra Board
10,Aditya Kumar,75,80,82,78,Hindi,80,Arts,82,2022,ICSE
11,Anushka Sharma,98,96,95,97,Hindi,96,Music,95,2022,CISCE
12,Arnav Singh,90,88,85,92,Hindi,88,Music,85,2022,IB
13,Aditi Sharma,78,80,82,75,Hindi,80,Psychology,82,2022,CBSE
14,Anika Reddy,90,85,88,84,Hindi,85,Sociology,88,2022,Gujarat Board
15,Aryan Patel,92,94,90,88,Hindi,94,Arts,90,2022,Tamil Nadu Board
16,Aditya Kumar,75,80,82,78,Hindi,80,Physical Education,82,2022,West Bengal Board
17,Anushka Sharma,98,96,95,97,Hindi,96,Psychology,95,2022,Karnataka Board
18,Arnav Singh,90,88,85,92,Hindi,88,Arts,85,2022,Maharashtra Board
19,Ayush Patel,82,78,75,80,Hindi,78,Music,75,2022,ICSE
20,Ananya Gupta,94,90,92,88,Hindi,90,Dance,92,2022,CISCE
21,Aarav Reddy,88,85,90,84,Hindi,85,Psychology,90,2022,IB
22,Aditi Reddy,75,82,78,80,Hindi,82,Sociology,78,2022,CBSE
23,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2022,Gujarat Board
24,Krishna Patel,95,92,96,94,Hindi,92,Physical Education,96,2022,Tamil Nadu Board
25,Aishwarya Reddy,85,88,84,90,Hindi,88,Psychology,84,2022,West Bengal Board
26,Anshul Gupta,96,95,97,92,Hindi,95,Dance,97,2022,Karnataka Board
27,Aditya Kumar,75,78,80,82,Hindi,78,Music,80,2023,ICSE
28,Anika Gupta,78,80,82,75,Hindi,80,Music,82,2023,CISCE
29,Aryan Patel,92,94,90,88,Hindi,94,Physical Education,90,2023,IB
30,Aditi Sharma,82,75,78,80,Hindi,75,Dance,78,2023,CBSE
31,Bhavya Singh,75,78,80,82,Hindi,78,Dance,80,2023,Gujarat Board
32,Karan Reddy,94,92,88,90,Hindi,92,Psychology,88,2023,Tamil Nadu Board
33,Ishaan Gupta,85,90,88,82,Hindi,90,Psychology,88,2023,West Bengal Board
34,Ananya Patel,80,82,75,78,Hindi,82,Sociology,75,2023,Karnataka Board
35,Vikram Reddy,96,95,92,94,Hindi,95,Arts,92,2023,Maharashtra Board
36,Aditya Kumar,75,80,82,78,Hindi,80,Arts,82,2023,ICSE
37,Anushka Sharma,98,96,95,97,Hindi,96,Music,95,2023,CISCE
38,Arnav Singh,90,88,85,92,Hindi,88,Music,85,2023,IB
39,Aditi Sharma,78,80,82,75,Hindi,80,Psychology,82,2023,CBSE
40,Anika Reddy,90,85,88,84,Hindi,85,Sociology,88,2023,Gujarat Board
41,Aryan Patel,92,94,90,88,Hindi,94,Arts,90,2023,Tamil Nadu Board
42,Aditya Kumar,75,80,82,78,Hindi,80,Physical Education,82,2023,West Bengal Board
43,Anushka Sharma,98,96,95,97,Hindi,96,Psychology,95,2023,Karnataka Board
44,Arnav Singh,90,88,85,92,Hindi,88,Arts,85,2023,Maharashtra Board
45,Ayush Patel,82,78,75,80,Hindi,78,Music,75,2023,ICSE
46,Ananya Gupta,94,90,92,88,Hindi,90,Dance,92,2023,CISCE
47,Aarav Reddy,88,85,90,84,Hindi,85,Psychology,90,2023,IB
48,Aditi Reddy,75,82,78,80,Hindi,82,Sociology,78,2023,CBSE
49,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2023,Gujarat Board
50,Krishna Patel,95,92,96,94,Hindi,92,Physical Education,96,2023,Tamil Nadu Board
51,Aishwarya Reddy,85,88,84,90,Hindi,88,Psychology,84,2023,West Bengal Board
52,Anshul Gupta,96,95,97,92,Hindi,95,Dance,97,2023,Karnataka Board
53,Aditya Kumar,75,78,80,82,Hindi,78,Music,80,2022,ICSE
54,Anika Gupta,78,80,82,75,Hindi,80,Music,82,2022,CISCE
55,Aryan Patel,92,94,90,88,Hindi,94,Physical Education,90,2022,IB
56,Aditi Sharma,82,75,78,80,Hindi,75,Dance,78,2022,CBSE
57,Bhavya Singh,75,78,80,82,Hindi,78,Dance,80,2022,Gujarat Board
58,Karan Reddy,94,92,88,90,Hindi,92,Psychology,88,2022,Tamil Nadu Board
59,Ishaan Gupta,85,90,88,82,Hindi,90,Psychology,88,2022,West Bengal Board
60,Ananya Patel,80,82,75,78,Hindi,82,Sociology,75,2022,Karnataka Board
61,Vikram Reddy,96,95,92,94,Hindi,95,Arts,92,2022,Maharashtra Board
62,Aditya Kumar,75,80,82,78,Hindi,80,Arts,82,2022,ICSE
63,Anushka Sharma,98,96,95,97,Hindi,96,Music,95,2022,CISCE
64,Arnav Singh,90,88,85,92,Hindi,88,Music,85,2022,IB
65,Aditi Sharma,78,80,82,75,Hindi,80,Psychology,82,2022,CBSE
66,Anika Reddy,90,85,88,84,Hindi,85,Sociology,88,2022,Gujarat Board
67,Aryan Patel,92,94,90,88,Hindi,94,Arts,90,2022,Tamil Nadu Board
68,Aditya Kumar,75,80,82,78,Hindi,80,Physical Education,82,2022,West Bengal Board
69,Anushka Sharma,98,96,95,97,Hindi,96,Psychology,95,2022,Karnataka Board
70,Arnav Singh,90,88,85,92,Hindi,88,Arts,85,2022,Maharashtra Board
71,Ayush Patel,82,78,75,80,Hindi,78,Music,75,2022,ICSE
72,Ananya Gupta,94,90,92,88,Hindi,90,Dance,92,2022,CISCE
73,Aarav Reddy,88,85,90,84,Hindi,85,Psychology,90,2022,IB
74,Aditi Reddy,75,82,78,80,Hindi,82,Sociology,78,2022,CBSE
75,Bhavna Singh,80,75,82,78,Hindi,75,Arts,82,2022,Gujarat Board
